Username,Content
janganliatsini_,"udah gak percaya ldr. terakhir emang effort sih dia ke gue, nyamperin hampir tiap bulan. royal, nurutin yg gue mau. sialnya aku selingkuhan ternyata. gak pake kasi waktu menjelaskan, gue putusin. turun banget derajat gue kyak gini ??"
mattadust,"5 taun ldr. Diselingkuhin. Ada hubungan lain sm orang, setaun wkwk"
rainingpeaxch,Saw in tiktok that this girl was in LDR with a malay dude in singapore for 6 years and never met. the day she FLEW there to meet but he never came
nrlazwhmd,"I've been in LDR for 1.5yrs Mas-Jpn.
Never meet cause he's in his final year masa mula2 kenal tu. So mmg after grad baru balik n after a month dia balik Msia baru ready nak jumpa. Selama kenal tu jumpa dkt Skype je. Btw, I mmg prefer LDR sbb xreti bercinta f2f. Now he's my husb"
tengkuhasni,"If you engage in LDR, make sure to meet up in the beginning this challenging and thrills relationship. Don't meet up mid or near to end goals. Nowadays Anyone can become Anybody, and that Anyone is collecting jar of heart."
sulphuricacids,"LDR had teach me biggest lessons in life. It teach me to love myself first before love others. It teach me tolerate with people. It teach me that LDR sucks. It teach me, no matter how hard you loyal, once your partner tawar hati/curang, everything will be over."
sulphuricacids,"LDR, sometimes can make you sick. You can;t meet your partner everytime, you feel insecure; did your partner still love you the same way? 
But if you truly love your partner, you will do anything to make that relationship last longer until both of you're getting married ??"
anisiobndct,lowkey think ldr only work for ppl who speak malay bcs they say jauh di mata dekat di hati but in english its out of sight out of mind
snowtiger_0,"ldr buat yg kuat2 aja sih, klo yg ga bisa mending skip dlu berat bgt soalnya. apalagi klo yg satunya ga excited. siap2 aja makan hati"
anggroaaar,"Makanya jangan ldr, sulit untuk diperjuangkan. Pengalaman pribadi kalau udh hilang sparks or feel nya, apalagi ldr ga akan balik seperti dulu meski ketemuan nanti. Lebih baik sudahi saja daripada nanti jadi selingkuh"
youllhave2wait,"I think in an ldr it's even more important to keep daily communication since you're not seeing each other all the time. Even a ""Hey I'm busy today but we'll chat later tonight"" goes a long way

But yeah I agree about the mind games, at some point I'd be reaching out"
renjromance,"LDR hanya untuk orang2 yang berniat dan berduit.

Niat utk jadiin pacarnya prioritas dan duitnya juga prioritas buat pacarnya ??"
